Block,Variety,PCROT,PCDM,FWGD_KGH,DWGD_KGH
B1,1003003,0.028,0.318,31851,10137
B1,1003013,0.084,0.342,37170,12699
B1,1005084,0.000,0.351,47091,16539
B1,1016003,0.017,0.298,52905,15772
B1,1024209,0.000,0.269,31820,8544
B1,176,0.001,0.320,16002,5117
B2,1003003,0.015,0.374,39571,14782
B2,1003013,0.176,0.345,27324,9421
B2,1005084,0.006,0.336,42997,14440
B2,1016003,0.011,0.280,47623,13322
B2,1024209,0.001,0.332,26951,8943
B2,176,0.007,0.311,14897,4636
B3,1003003,0.004,0.321,32646,10486
B3,1003013,0.122,0.351,29073,10208
B3,1005084,0.000,0.337,44737,15083
B3,1016003,0.062,0.316,33994,10749
B3,1024209,0.000,0.317,33906,10752
B3,176,0.000,0.373,14262,5317
B4,1003003,0.041,0.291,27607,8041
B4,1003013,0.008,0.310,35622,11044
B4,1005084,0.005,0.415,42242,17525
B4,1016003,0.014,0.262,42173,11053
B4,1024209,0.012,0.307,34968,10746
B4,176,0.000,0.332,16078,5331
