Year,Season,Genotype_ID,Genotype_ID_C,Treatment,Plant_ID,Date,Length_of_Leaf_4_mm,Length_of_Leaf_5_mm,Length_of_Leaf_5_cm,Origin_Grouped_by_Region,Origin_Single,Origin_Grouped_by_Climate,Genetic_Origin,Length_of_Lean_4_cm
2021,SUMMER,B73,B73,Control,51,2021-06-11,180,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,51,2021-06-12,253,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,51,2021-06-13,315,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,51,2021-06-14,398,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,51,2021-06-15,436,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,51,2021-06-16,448,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,51,2021-06-17,460,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,51,2021-06-18,460,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,51,2021-06-19,463,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,51,2021-06-20,463,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,51,2021-06-21,463,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-11,134,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-12,196,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-13,260,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-14,335,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-15,404,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-16,432,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-17,442,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-18,447,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-19,447,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-20,452,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-21,452,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,53,2021-06-22,452,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
2021,SUMMER,B73,B73,Control,54,2021-06-11,132,NA,NA,USA,IOWA,TEMPERATE,Stiff Stalk,
