Year,Season,Genotype_ID,Treatment,Plant_ID,Image_ID,Root_type,Sample_ID,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3,Origin_Single,Origin_Grouped_by_Climate,Origin_Grouped_by_Region,Genetic_Origin
2024,SPRING,B73,CONTROL,1,B73_1_Crown-001.jpg,Crown,1,Full,3225,8169,9356.180682,0.873113,3437.493125,0.631631,0.441973,4.404498,11915.46814,5026.709612,18738.50793,6.281,2783.769395,4606.142748,1966.268539,508.853784,2532.691396,2922.651484,1598.916309,7957.165507,9182.426113,89.01139,1232.331808,3705.366413,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,1,B73_1_Primary-001.jpg,Primary,1,Full,1975,9399,9355.979558,1.004598,2927.101225,0.4807,0.390294,3.264062,12519.71885,2515.152105,14078.82426,6.194,2951.890883,5718.443604,685.645071,594.494016,2950.181011,936.264831,1867.954651,9269.408688,2941.460918,109.222613,1330.446075,1075.483417,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,1,B73_1_Seminal-001.jpg,Seminal,1,Full,987,3177,3015.069199,1.053707,920.726653,0.415785,0.330634,2.200112,4629.08785,629.408299,3954.326434,3.324,1369.826891,1509.253376,135.988932,233.815886,866.240146,158.572895,734.723181,2721.431811,498.171443,38.978789,441.513886,148.915623,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,1,B73_1_Seminal-001output.png,Seminal,2,Full,3079,7076,5741.720953,1.232383,1524.443636,0.42825,0.338667,2.963636,7706.858498,1379.758634,7755.880764,4.047,2632.180018,2702.804727,406.736209,403.432699,1553.006641,511.87542,1267.534994,4879.924838,1608.420933,61.082668,787.173597,531.502369,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,2,B73_2_Crown-.jpg,Crown,1,Full,1238,3469,6075.697467,0.570963,2794.678102,0.656211,0.423333,3.10624,9163.31079,3451.161313,12568.66235,5.168,1589.302709,3210.386384,1276.008374,369.350895,1637.844366,1993.379914,1160.53617,5145.654887,6262.471295,72.175777,742.296424,2636.689112,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,2,B73_2_Primary-.jpg,Primary,1,Full,399,1655,3297.26709,0.501931,1072.713356,0.410352,0.341302,1.874655,5448.001256,566.064323,4209.625633,3.337,1365.991834,1826.173376,105.10188,317.161132,894.442514,128.313414,996.427133,2810.090023,403.108478,60.624029,380.113382,125.326912,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,2,B73_2_Seminal-.jpg,Seminal,1,Full,265,840,1927.446459,0.43581,573.953153,0.353767,0.283981,1.338698,3413.534753,244.35517,2126.806909,3.112,1107.226162,804.73575,15.484547,249.590667,410.242089,17.077108,784.219915,1288.937679,53.649316,46.308441,183.197486,14.849242,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,4,B73_4_Crown-Spring003.jpg,Crown,1,Full,1693,4563,7763.245781,0.58777,3724.109039,0.738504,0.493687,4.894766,10774.7934,5808.684532,18124.30819,9.069,1737.807585,4143.339684,1882.098511,377.951464,2230.078337,3160.633666,1187.501359,7006.274505,9930.532323,71.686472,1057.060269,4679.937791,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,4,B73_4_Primary-Spring002.jpg,Primary,1,Full,1234,3962,6941.073295,0.570805,2241.437273,0.433373,0.341302,3.467459,11053.96989,1560.267924,9404.064715,7.684,2867.377194,3655.650402,418.045698,631.468706,1780.445424,581.445735,1983.841333,5593.480433,1826.742949,118.314902,756.511503,685.441519,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,4,B73_4_Seminal-Spring001.jpg,Seminal,1,Full,725,2293,4621.613637,0.496147,1424.374391,0.390559,0.299342,1.826231,7687.816552,752.089164,5633.815229,5.357,2377.036017,2115.507224,129.070396,544.185159,1098.369127,150.663064,1709.625902,3450.792395,473.396933,102.962222,508.352863,140.774079,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,5,B73_5_Crown-217.jpg,Crown,1,Full,2119,5685,7149.847724,0.795122,2759.559893,0.626915,0.431717,3.302,9495.919674,3585.909892,14035.46405,5.348,2372.806493,3365.161255,1411.879976,479.535373,1933.751967,2053.896077,1506.694237,6075.58402,6453.185795,85.807102,986.052129,2514.05066,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,5,B73_5_Primary-219.jpg,Primary,1,Full,1123,3920,5900.508664,0.66435,1706.409222,0.385692,0.308191,4.246225,9473.880546,1070.697594,7117.991874,3.815,2848.606099,2849.117554,202.785011,607.078999,1369.976502,288.519642,1907.194923,4304.153235,906.643716,111.617444,577.435165,381.644985,IOWA,TEMPERATE,USA,Stiff Stalk
2024,SPRING,B73,CONTROL,5,B73_5_Seminal-218.jpg,Seminal,1,Full,192,494,839.057082,0.588756,325.038328,0.482975,0.467587,1.476821,1362.067513,192.810448,1269.906761,1.414,258.482423,559.923682,20.650976,54.249548,326.518386,23.450205,170.448007,1025.787763,73.670992,9.819265,161.9074,21.083783,IOWA,TEMPERATE,USA,Stiff Stalk
