Plant_ID,Year,Genotype_ID,Season,Treatment,Leaf,Intercept,GrowthRate,Duration
51,2021,B73,Summer,Control,four,119.3,65.69999999,5.178082192
53,2021,B73,Summer,Control,four,62.09999994,67.90000002,5.658110666
54,2021,B73,Summer,Control,four,81,57.85714286,6.337448563
55,2021,B73,Summer,Control,four,79.1000001,64.69999997,5.490468831
56,2021,B73,Summer,Control,four,48.49999998,65.70000001,5.634195839
57,2021,B73,Summer,Control,four,90.49999998,63.90000001,5.717266562
58,2021,B73,Summer,Control,four,79.1,66.5,5.45112782
59,2021,B73,Summer,Control,four,97.19999991,63.20000002,5.14556962
60,2021,B73,Summer,Control,four,54.13333356,66.91428565,6.244805012
61,2021,B73,Summer,Control,four,61.3,69.5,5.664748201
62,2021,B73,Summer,Control,four,81.20000011,61.19999997,5.428104576
63,2021,B73,Summer,Control,four,64.29999999,68.3,5.519033675
64,2021,B73,Summer,Control,four,34.33333333,65.42857143,6.266375546
65,2021,B73,Summer,Control,four,49.39999999,56,5.379761905
66,2021,B73,Summer,Control,four,79.14285707,46.50000005,7.846390162
68,2021,B73,Summer,Control,four,38.99999987,48.20000003,5.491009681
69,2021,B73,Summer,Control,four,34.53333326,66.65714287,6.406915273
156,2021,B97,Summer,Control,four,17.40641411,51.86145009,8.000000244
157,2021,B97,Summer,Control,four,31.57142847,56.21428574,7.648030494
158,2021,B97,Summer,Control,four,19.02777711,51.61666677,9.214831551
159,2021,B97,Summer,Control,four,54.99999985,59.57142861,7.360911269
160,2021,B97,Summer,Control,four,37.39999974,37.40000009,5.30347593
162,2021,B97,Summer,Control,four,42.42857242,67.67857123,7.487915574
163,2021,B97,Summer,Control,four,29.71428614,50.74999991,7.83321605
165,2021,B97,Summer,Control,four,-3.277776054,57.29999973,9.06825675
167,2021,B97,Summer,Control,four,41.16666757,54.63333319,9.100061021
168,2021,B97,Summer,Control,four,79.03571438,61.29761903,8.074771802
169,2021,B97,Summer,Control,four,98.99999994,72.46428573,7.468506653
170,2021,B97,Summer,Control,four,14.99999931,61.17857156,7.326094566
71,2021,CML322,Summer,Control,four,87.49999997,20.90000001,4.425837319
77,2021,CML322,Summer,Control,four,1.800000006,50.4,5.753968254
84,2021,CML322,Summer,Control,four,77.40000001,13.6,5.154411765
85,2021,CML322,Summer,Control,four,33.8,54,5.303703704
86,2021,CML322,Summer,Control,four,20.20000007,43.19999998,5.212962964
131,2021,CML52,Summer,Control,four,66.66666725,74.28571416,6.204273507
132,2021,CML52,Summer,Control,four,46.33333291,76.14285723,6.486053782
134,2021,CML52,Summer,Control,four,67.57142836,40.96428577,7.437663465
135,2021,CML52,Summer,Control,four,68.28571401,36.21428577,7.470742928
137,2021,CML52,Summer,Control,four,64.0000001,42.6785714,7.765020923
139,2021,CML52,Summer,Control,four,67.26666699,73.11428566,6.152468412
141,2021,CML52,Summer,Control,four,91.79999994,54.48571431,6.320589215
142,2021,CML52,Summer,Control,four,50.40000023,32.89090907,10.05140962
143,2021,CML52,Summer,Control,four,102.4285714,44.35714287,7.591519054
144,2021,CML52,Summer,Control,four,25.59999961,45.11428578,6.627612413
145,2021,CML52,Summer,Control,four,70.99999999,43.2857143,7.614521449
146,2021,CML52,Summer,Control,four,55.46666704,71.4857142,6.598521186
147,2021,CML52,Summer,Control,four,106.4999998,68.30000008,4.332357244
149,2021,CML52,Summer,Control,four,42.42857148,45.24999999,7.53528019
171,2021,CML69,Summer,Control,four,58.14285713,42.53571428,7.242317381
172,2021,CML69,Summer,Control,four,44.00000018,46.49999996,7.135483873
177,2021,CML69,Summer,Control,four,81.30000006,80.89999998,5.44499382
178,2021,CML69,Summer,Control,four,49.6071431,42.80952376,8.202447167
179,2021,CML69,Summer,Control,four,20.99999995,54.00000001,7.296296296
180,2021,CML69,Summer,Control,four,91.46666666,56.20000001,6.46500593
181,2021,CML69,Summer,Control,four,89.06666658,66.74285717,6.423658675
183,2021,CML69,Summer,Control,four,51.79999985,84.80000004,5.846992923
185,2021,CML69,Summer,Control,four,68.00000014,43.53571425,7.526387752
188,2021,CML69,Summer,Control,four,90.42857166,49.14285711,7.321947675
190,2021,CML69,Summer,Control,four,78.60000034,80.59999991,5.455748554
119,2021,Ki11,Summer,Control,four,73.06666652,62.88571433,6.432126809
126,2021,Ki11,Summer,Control,four,33.4285715,57.35714284,7.749481114
129,2021,Ki11,Summer,Control,four,88.73333316,47.74285719,6.417913422
91,2021,Mo18w,Summer,Control,four,9.466668999,89.62857088,6.590266723
92,2021,Mo18w,Summer,Control,four,85.60000012,88.19999997,5.55064248
93,2021,Mo18w,Summer,Control,four,105.7000001,67.69999999,5.848842935
94,2021,Mo18w,Summer,Control,four,81.71428617,75.5357142,7.119621752
95,2021,Mo18w,Summer,Control,four,54.28571404,50.92857148,7.763440857
96,2021,Mo18w,Summer,Control,four,40.85714231,55.07142867,7.798530043
98,2021,Mo18w,Summer,Control,four,72.60000005,76.4,5.787303664
99,2021,Mo18w,Summer,Control,four,79.73333404,55.59999984,6.823912306
100,2021,Mo18w,Summer,Control,four,7.999999826,63.50000004,7.286839143
101,2021,Mo18w,Summer,Control,four,34.49999995,77.30000002,5.301854247
102,2021,Mo18w,Summer,Control,four,-14.19999998,82.59999999,5.728813559
103,2021,Mo18w,Summer,Control,four,95.29999972,80.30000008,5.674968865
